Date,Open,High,Low,Close,Adj Close,Volume
2012-01-09,144.153839,145.230774,142.769226,145.076920,113.857758,6108362
2012-01-10,146.230774,146.538467,143.230774,144.000000,113.012604,7714772
2012-01-11,142.692307,145.769226,142.307693,145.230774,113.978508,6222879
2012-01-12,145.846161,146.153839,144.307693,145.615387,114.280334,5064514
2012-01-13,144.461533,144.923080,143.076920,144.923080,113.737038,5464849
2012-01-17,146.076920,146.923080,143.692307,144.153839,113.133339,6396884
2012-01-18,142.923080,146.538467,142.769226,146.307693,114.823700,6878638
2012-01-19,146.384613,147.615387,145.615387,147.307693,115.608521,7007988
2012-01-20,144.692307,147.692307,143.692307,147.307693,115.608521,12016199
2012-01-23,146.846161,148.000000,145.384613,145.692307,114.340714,6575998
2012-01-24,144.923080,145.076920,144.230774,144.923080,113.737038,5165771
2012-01-25,144.846161,147.384613,144.538467,147.153839,115.487770,6662526
2012-01-26,148.153839,148.230774,146.000000,146.692307,115.125519,5524155
2012-01-27,146.153839,147.153839,145.538467,146.384613,114.884048,4239534
2012-01-30,144.846161,145.615387,143.846161,145.384613,114.099243,4905043
2012-01-31,146.000000,146.230774,143.769226,143.923080,112.952248,6011278
2012-02-01,145.692307,146.615387,144.230774,144.384613,113.314445,6762197
2012-02-02,145.000000,145.615387,143.846161,144.230774,113.193703,4915690
2012-02-03,146.153839,146.923080,145.538467,146.307693,114.823700,5834114
2012-02-06,146.076920,147.307693,145.769226,146.538467,115.004799,5555628
2012-02-07,146.307693,147.692307,145.461533,147.538467,115.789627,4685317
2012-02-08,147.615387,148.538467,146.769226,148.000000,116.151810,4378504
2012-02-09,148.538467,148.846161,147.000000,147.153839,115.487770,5743855
2012-02-10,146.076920,146.230774,144.384613,145.230774,113.978508,14240824
2012-02-13,146.384613,146.769226,145.384613,146.692307,115.125519,13558883
2012-02-14,145.615387,146.846161,144.615387,145.692307,114.340714,5099822
2012-02-15,146.230774,146.307693,143.846161,144.307693,113.254074,5387044
2012-02-16,145.076920,146.384613,144.615387,146.230774,114.763329,5266391
2012-02-17,147.538467,148.615387,147.000000,148.307693,116.393333,7549984
2012-02-21,149.384613,150.000000,148.615387,149.307693,117.178101,5450146
2012-02-22,149.461533,149.769226,147.538467,149.153839,117.057381,5314244
2012-02-23,146.692307,149.000000,146.153839,148.538467,117.605522,5931692
2012-02-24,148.923080,149.000000,147.230774,148.000000,117.179192,3110224
2012-02-27,146.307693,147.384613,146.000000,146.692307,116.143822,4877847
2012-02-28,147.076920,147.615387,146.076920,147.384613,116.691986,4552951
2012-02-29,147.538467,148.076920,146.230774,146.538467,116.022041,5805553
2012-03-01,147.307693,147.615387,146.384613,147.076920,116.448311,4853472
2012-03-02,147.230774,147.230774,145.384613,145.923080,115.534767,4709965
2012-03-05,145.769226,146.000000,144.076920,145.000000,114.803917,4624438
2012-03-06,143.076920,143.153839,140.923080,141.692307,112.185066,7312370
2012-03-07,142.923080,145.000000,142.692307,144.384613,114.316704,7078656
2012-03-08,146.000000,146.846161,145.538467,146.384613,115.900246,4678037
2012-03-09,146.307693,147.538467,145.538467,146.461533,115.961067,4872374
2012-03-12,146.846161,147.615387,146.461533,147.153839,116.509285,4595422
2012-03-13,147.692307,151.230774,146.846161,150.692307,119.310844,8310276
2012-03-14,151.000000,153.000000,150.615387,152.230774,120.528915,9275838
2012-03-15,152.846161,155.384613,152.769226,155.076920,122.782364,9922666
2012-03-16,155.846161,156.153839,153.923080,155.384613,123.025963,10300862
2012-03-19,154.461533,156.615387,154.307693,155.461533,123.086868,5554536
2012-03-20,154.000000,155.461533,153.692307,154.384613,122.234207,6179628
2012-03-21,155.076920,156.307693,154.153839,154.384613,122.234207,6643208
2012-03-22,153.461533,153.538467,151.461533,152.692307,120.894341,6598657
2012-03-23,152.230774,153.153839,151.538467,152.153839,120.467987,4447599
2012-03-26,153.692307,154.692307,153.230774,154.230774,122.112457,5585268
2012-03-27,154.769226,154.923080,153.923080,154.153839,122.051514,4981730
2012-03-28,154.000000,161.538467,152.076920,153.923080,121.868820,7206056
2012-03-29,152.461533,153.615387,151.615387,153.461533,121.503365,5286203
2012-03-30,154.384613,154.846161,153.461533,154.384613,122.234207,5325671
2012-04-02,154.076920,154.692307,153.076920,154.000000,121.929672,5741983
2012-04-03,153.615387,154.000000,152.307693,153.538467,121.564262,5693714
2012-04-04,151.153839,152.384613,150.923080,151.846161,120.224411,5680103
2012-04-05,150.846161,151.615387,149.692307,149.923080,118.701752,5195294
2012-04-09,146.923080,148.230774,146.692307,147.692307,116.935539,4726969
2012-04-10,147.076920,147.153839,143.846161,144.153839,114.134010,7078552
2012-04-11,146.307693,147.307693,146.000000,146.230774,115.778404,4917653
2012-04-12,146.230774,148.615387,145.846161,148.461533,117.544624,3668015
2012-04-13,147.538467,147.538467,145.076920,145.230774,114.986664,5240651
2012-04-16,146.000000,147.153839,145.000000,145.384613,115.108437,3907787
2012-04-17,146.384613,148.923080,145.538467,148.769226,117.788261,4617626
2012-04-18,147.923080,148.769226,146.461533,146.923080,116.326515,4333082
2012-04-19,147.461533,148.076920,145.923080,147.230774,116.570137,6781970
2012-04-20,149.461533,151.076920,148.076920,148.923080,117.910065,8830939
2012-04-23,146.615387,147.076920,145.692307,146.692307,116.143822,6765577
2012-04-24,147.615387,150.769226,147.000000,150.307693,119.006294,6443619
